timer,roll,pitch,yaw,accel_x,accel_y,accel_z,posx,posy,posz
  0.16809, 0.09725, 0.07393, 2.89725,  0.02596, -0.03745, -0.44678, -0.00140, -0.00155, -0.00538
  0.16916, 0.09724, 0.07391, 2.89690,  0.02138, -0.03995, -0.45186, -0.00141, -0.00157, -0.00545
  0.17023, 0.09724, 0.07389, 2.89656,  0.02397, -0.04717, -0.46718, -0.00143, -0.00159, -0.00553
  0.17130, 0.09724, 0.07388, 2.89622,  0.02889, -0.04719, -0.48250, -0.00144, -0.00160, -0.00560
  0.17237, 0.09721, 0.07386, 2.89590,  0.02665, -0.03541, -0.47991, -0.00145, -0.00162, -0.00567
  0.17344, 0.09718, 0.07384, 2.89559,  0.02442, -0.02851, -0.45176, -0.00147, -0.00164, -0.00575
  0.17451, 0.09713, 0.07382, 2.89530,  0.02221, -0.01935, -0.43637, -0.00148, -0.00166, -0.00582
  0.17558, 0.09709, 0.07380, 2.89500,  0.02239, -0.02453, -0.43887, -0.00149, -0.00168, -0.00590
  0.17664, 0.09708, 0.07379, 2.89470,  0.02494, -0.03672, -0.44651, -0.00151, -0.00170, -0.00598
  0.17771, 0.09707, 0.07377, 2.89440,  0.02273, -0.04158, -0.44905, -0.00152, -0.00172, -0.00605
  0.17878, 0.09706, 0.07376, 2.89411,  0.02527, -0.03927, -0.45414, -0.00153, -0.00174, -0.00613
  0.17985, 0.09705, 0.07374, 2.89383,  0.02305, -0.03700, -0.44645, -0.00155, -0.00175, -0.00621
  0.18092, 0.09705, 0.07371, 2.89355,  0.01851, -0.04184, -0.43620, -0.00156, -0.00177, -0.00629
  0.18200, 0.09706, 0.07370, 2.89326,  0.02346, -0.04895, -0.43109, -0.00157, -0.00179, -0.00637
  0.18306, 0.09708, 0.07369, 2.89297,  0.02597, -0.05356, -0.42855, -0.00159, -0.00181, -0.00645
  0.18413, 0.09709, 0.07368, 2.89268,  0.02846, -0.05339, -0.44389, -0.00160, -0.00183, -0.00653
  0.18520, 0.09710, 0.07367, 2.89241,  0.03328, -0.05090, -0.46178, -0.00161, -0.00185, -0.00661
  0.18628, 0.09710, 0.07366, 2.89215,  0.02624, -0.04608, -0.45666, -0.00162, -0.00187, -0.00669
  0.18736, 0.09710, 0.07364, 2.89190,  0.02166, -0.04133, -0.43875, -0.00164, -0.00189, -0.00677
  0.18843, 0.09709, 0.07362, 2.89158,  0.02188, -0.04376, -0.44129, -0.00165, -0.00191, -0.00685
  0.18950, 0.09710, 0.07360, 2.89121,  0.02209, -0.04614, -0.44128, -0.00166, -0.00193, -0.00693
  0.19057, 0.09711, 0.07357, 2.89080,  0.02229, -0.04844, -0.42849, -0.00168, -0.00195, -0.00702
  0.19164, 0.09713, 0.07356, 2.89036,  0.02248, -0.05304, -0.42339, -0.00169, -0.00197, -0.00710
  0.19271, 0.09714, 0.07354, 2.88990,  0.02501, -0.04574, -0.42083, -0.00170, -0.00199, -0.00718
  0.19378, 0.09714, 0.07354, 2.88943,  0.03219, -0.04567, -0.42340, -0.00171, -0.00201, -0.00727
  0.19485, 0.09716, 0.07355, 2.88895,  0.03690, -0.05034, -0.43364, -0.00173, -0.00202, -0.00735
  0.19592, 0.09718, 0.07357, 2.88845,  0.04153, -0.05490, -0.42345, -0.00174, -0.00204, -0.00744
  0.19700, 0.09721, 0.07357, 2.88795,  0.03429, -0.05461, -0.40304, -0.00175, -0.00206, -0.00753
  0.19806, 0.09724, 0.07356, 2.88745,  0.02719, -0.05435, -0.40561, -0.00176, -0.00208, -0.00761
  0.19914, 0.09725, 0.07356, 2.88697,  0.02965, -0.04940, -0.42096, -0.00178, -0.00210, -0.00770
  0.20020, 0.09726, 0.07354, 2.88649,  0.02264, -0.04689, -0.41329, -0.00179, -0.00212, -0.00779
  0.20127, 0.09729, 0.07352, 2.88600,  0.02280, -0.05149, -0.40307, -0.00180, -0.00214, -0.00788
  0.20235, 0.09730, 0.07351, 2.88553,  0.02296, -0.04893, -0.41330, -0.00181, -0.00216, -0.00796
  0.20342, 0.09731, 0.07348, 2.88507,  0.01841, -0.04642, -0.41585, -0.00183, -0.00218, -0.00805
  0.20449, 0.09732, 0.07347, 2.88461,  0.02334, -0.04630, -0.40563, -0.00184, -0.00220, -0.00814
  0.20556, 0.09733, 0.07348, 2.88416,  0.03287, -0.04380, -0.40053, -0.00185, -0.00222, -0.00823
  0.20663, 0.09732, 0.07349, 2.88373,  0.03753, -0.03666, -0.41331, -0.00186, -0.00224, -0.00832
  0.20770, 0.09732, 0.07351, 2.88330,  0.04211, -0.03675, -0.42354, -0.00188, -0.00226, -0.00841
  0.20877, 0.09731, 0.07353, 2.88288,  0.03955, -0.03683, -0.42354, -0.00189, -0.00229, -0.00851
